,,Notes,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Script ID,,CEO_Grass,CEO_Sand,CEO_Snow,CEO_Acid
,Region_Names,,"""Archival Flats"", ""Historic County"", ""Safeguard Valley"", ""Forgotten Hills"", ""Central Museums"", ""Martial District"", ""Old Town"", ""Storage Vaults"", ""Secondary Archives"", ""Remembrance Point"", ""Colonial Park"", ""OhmTown"", ""Old Earth Park"", ""The Library"", ""Exhibits Archive"", ""Accord Repository"", ""Chronology Hall"", ""Retrospect Park"", ""Relic Preserves"", ""The Pasture"", ""Preserved Farms"", ""Restoration Center"", ""Research Center"", ""Artifact Vaults"", ""Renovation Complex"", ""Archivist Hall"", ""Antiquity Row"", ""Excavation Site""","""Black Rock"", ""Phoenix Park"", ""Lone Mesa"", ""Rust District"", ""Hardened Shale"", ""Sheer County"", ""Fox Plateau "",""Mercury Ridge"", ""Red Sands"", ""Countdown Ridge"", ""Doomsday Point"", ""Thunderbolt Grid"", ""Detonation Park"", ""Proving Grounds"",""Erosion Flats"", ""Tectonic Site 3.1"", ""Sierra Quadrant"", ""Test Site Delta"",""Test Site Echo"", ""QA Division"", ""Suncatcher Array"", ""Scorched Earth"", ""Razor Shore"", ""Razor Bay"", ""Crater Bay"", ""Blast Bunker"", ""Strafe Zone Beta"",""Detonation Bay"",""New Terra"",""Dust Bowl"",""Rust Dunes"", ""D-CM Test Site"",""Hardin Point"",""Kern's Folly"",""The Scar"", ""Gamma Trench"",""Geothermal Station"",""Restricted Area"",""Turbine Cluster"",""Maglev Bunkers"",""Lightning Point"",""Tesla Fields"",""Disintegration Flats"",""Beautiful Corner"",""The Blast Garden"",""R.S.T. Training"", ""R.S.T. Perimeter"", ""R.S.T. Quake Fence"", ""Turbine Sinks"", ""Storm Mill"",""The Haze"",""Rust Beach"",""Weather Watch"",""Storm Summit"", ""Cleft"", ""The Rift"", ""Dead Bird Field"", Scrapyard"",","""Frozen Plains"", ""Ice Forest"", ""Central Processor"", ""Cold Storage"", ""Robotics Repair"", ""Secondary Cooling"", ""Lifeless Basin"", ""A.I. Training"", ""Cryogenic Labs"", ""Silicate Plains"", ""The Tundra"", ""Sub-Zero Range"", ""Central Cryonics"", ""Shielded Vaults"", ""District Z-1001"", ""District Z-1101"", ""Pinnacle Garden"", ""Glacier Cliff"", ""Venting Field"", ""Thermal Dampeners"",","""The Wasteland"", ""Downtown"", ""Reclamation Zone"", ""Reprocessing"", ""Scrapheap"", ""Venting Center"", ""Teleport Facility"", ""Venting Fields"", ""Waste Chambers"", ""Disposal Vault"", ""Chemical Field A"", ""Disposal Site C"", ""The Landfill"", ""The Heap"", ""Nano Silos"", ""Nanite Farms"", ""Containment Zone D"", ""Containment Zone J"", ""Pumping Station"","
,Island_Perfect,"Used when the player does not fail a single objective on the island. They get a free reward
","""You accomplished every Archive mission, an astounding accomplishment! Please, you and the #squad accept this as thanks."",","""You completed every mission on R.S.T. despite the odds. You've earned my respect, #squad - and everything we can offer."",","""You have saved Pinnacle, accomplishing every objective without fail. Allow me to provide additional aid."",","""#squad, it my pleasure to inform you your success rate is 100%. Detritus corporate bylaws dictate you've earned a bonus."", 

""Detritus has an aggressive bonus plan for excellence in performance, commander. You and your #squad deserve it."", 

""Due to your efforts, commander, our success to failure ratio has reversed since your arrival. Permit Detritus to share the fruits of that success with you."","
,Welcome_Message,"Used upon arrival to the island.
","""The bad news is the Vek are overrunning our island, putting refugees and historical artifacts at risk. The good news is we have Old Earth military artifacts that can help in the fight!"",
 
""We're doing all we can to protect the refugees, but we need your help against the Vek. We'll assist with some of our Old Earth artifacts if we can."",
 
""If you are from the future, you'll find our island is even further back in time than you expected. If not for the Vek, I'd have loved to give you a tour of the Old Earth relics."",

""You've shown up in the nick of time! The Vek are overrunning our island archive. The Old Earth relics here still have some fight in them, they could help us."",

""Civilizations of the past had a military strength vastly exceeding ours. Good thing we preserved some of their old war machines!"",
","""My advisors insist we're losing the fight. They also insist I trust you. And since those cowards rarely insist I do anything, I'm giving you a chance to prove yourselves."",

""Don't think for a moment I'm falling for the 'time traveler' stories, but your Mechs - they are undeniably impressive."",

""You won't find me as gullible as my department heads. Whatever 'time traveler' nonsense you claim, it's your firepower we need."",

""We can postpone the discussion on where you got this advanced weaponry until after you use it."",

""R.S.T. was divided on asking you for help; it was viewed as weakness. But the choice is stark: we either ally with you or lose the island."",
","""I hope you can respect both forms of life on this island, organic and mechanical."",

""The humans employed at Pinnacle are just as important as the sentient machines. We must stop the Vek to save all life."",

""On behalf of Pinnacle, I welcome you. The climate on our island isn't ideal for humans, but the low temperatures are vital for machine life to thrive."",","""I have heard of your triumphs against the Vek, commander. We hope you and the #squad can aid us in our fight as well."", 

""Our accommodations are sparse, commander, but you and the #squad are welcome here. To quote our corporate motto, 'Detritus is at your disposal'."",

""Our island was once one of hundreds of Detritus disposal sites. Then the Vek came. But with your arrival, Detritus has hope again."",

""When the Vek came, Detritus took on what refugees we could. What we lack is your military expertise, commander."","
,,,,,,
,Mission_ExtremeDamage,"If *any* mission results in extreme structure damage (4+ buildings?), these comments will trigger instead of standard mission comments","""Rising seas destroyed most of our world, but it seems it's the Vek that will end us. So many lives were lost during this mission - we can't let it happen again!"", 

""The structural damage sustained during that battle was costly. We've lost irreplaceable research and priceless artifacts."", 

""If every battle against the Vek results in that much damage, I don't think there'll be much left of Archive to help in the war."",","""I've seen the casualty reports from your mission. The losses... were considerable. But not unendurable."",

""My staff reports your attacks are hurting us more than the Vek - but keep hammering them, no matter what it takes."",

""I fired my advisors after they objected to the collateral damage on this mission. War means people die - it's that or we lose the planet."", 

""Many died today - too many. But the ends justify the means when you see the end coming for you."",

""The loss of life in the last battle - it is better than losing the planet. We must all make sacrifices."",

""My people understand their sacrifices are not in vain. We must keep the pressure on, or everyone will die."",","""Hundreds perished in that attack. Each a unique being the world will never see again."",

""We have lost much today, human and machine. We will see if Pinnacle can recover."",

""Other timelines may exist for you, but this is the only one we have. Please fight for us as we would fight for you.""","""We cannot lose so many lives in a single battle, commander. Detritus is not the island, it is not the company - it is our people."",

""Accidents happen - we at Detritus know this all too well - but is there some other approach that will yield better results?"",

""Accidents happen, but it reminds us we must do better, especially when lives are at stake - and even more when lives are lost."",

""I've seen the casualty reports and am contacting the surviving families personally."",

""I know you have done much, but I ask you to not let the lives of our people be the cost of defeating the Vek."",

""Detritus is nothing without its people, commander. I urge you and the #squad to put our citizens first."",

""The damage to the region was... extensive. While I've been told my... sentiments could cost us the war, I beg of you - consider our people."","
,,,,,,
Generic Missions,Mission_Generic_Briefing,Missions without anything unique happening could pull from the generic pools,"""Technology from the future protecting technology from the past! Has a poetic ring to it, doesn't it? Let's hope the future is up to the task."", 

""Much of Old Earth and its history was lost when the oceans rose. We must protect what little is left. If the Vek destroy us, these artifacts may be all that remains of our civilization."", 

""Refugees living in preserved 21st century cities was not what the Archive founders intended, but we need to shelter everyone as best we can."", 

""There are Technology Vaults buried under this region, we've got to drive the Vek out before they can damage them!"", 

""With most of Old Earth under water, we've got to defend what little remains. Archive has protected these buildings for decades, but we're counting on you now."",
","""Our island suffered greatly when we turned our terraforming tech against the Vek. Still, we must defend what's left."",

""The civilians in those buildings are tough, but not invincible. Make sure they survive this fight."",

""Grind the Vek into the dirt they're breeding in. If your story of the future is true, they must be stopped here and now."",","""I'm simultaneously monitoring 84 subterranean micro-incursions by the Vek. You will have to manage this one on your own."",

""Three out of five subroutines are giving you a low chance of success on this mission. Please be careful."",

""With the island melting and sentient life driven mad, you and your Mechs are their only chance."", 

""Our residential buildings are full of both forms of sentient life. The survival of two species is depending on you."",","""You must press on, commander. Detritus will do all we can to assist you here."",

""Do as you must, commander - the Vek must be driven back and our people protected."",

""Know that you and the #squad are our wall against the Vek, commander. We put our faith in you"",

""I have faith in you and the #squad, commander. Know that all of Detritus stands with you."","
,Mission_Generic_Success,Missions that pull from the generic objectives have a small chance of using this set,"""There's a lot of unused space in this region's nature preserves. We'll begin moving refugees here now the Vek are gone."", 

""Vek are not easily defeated, yet you put them down with flying colors. My compliments to the pilots."", 

""The troops of Old Earth would have been proud! If only they had been here to see it..."", 

""With this region secured, we can open our Technology Vaults. Let's see what other Old Earth tech we can use against the Vek!"",
","""That's the spirit we need if we're going to win this fight. Good work, both you and your... '#squad'."",

""Excellent, you've gained ground - we'll hold it now, you and your squad keep advancing."",

""Never thought we'd dig the Vek out - wherever you're from, I hope there's more of you on the way."",

""I read the casualty reports, and it's my pleasure to report the Vek are in the top percentile."",

""Region is secure. Deploying troops to hold the area before the weather shifts."",
","""You and the #squad have driven back the Vek. We are updating our chances of success based on this battle."",

""Additional victories of this kind will increase our chances of survival considerably."",

""Excellent news: My prognosticator sub-process has dramatically increased the odds of our survival based on your victory."",","""Well done, #squad! Good news is rare these days, but your efforts here have changed that."",

""You've driven them back, commander! This has bought us more time to bolster Detritus' defenses."",

""I know my thanks is a poor reward, but all of Detritus is grateful for what you and the #squad have done here today."",

""My faith in you was not misplaced, commander. You have Detritus' gratitude."",

""With the success of the #squad on the field, I've been able to focus efforts on the factories and the Vek elsewhere on Detritus!"","
,Mission_Generic_Failure,Are we going to use these? They aren't currently used,"""Well now, hmmm... that could have gone better for everyone involved. Let's hope the next battle is more successful."",

""Without your help, humanity will join Old Earth and be a thing of the past. But we can't let this mission be the norm, we have to do better!"",","
""I don't care about your best - don't let the enemy gain any more ground. I shouldn't need to tell you this!"",

""We don't have anywhere to retreat. If you think we can run, you're wrong. This is all we have."",

""Your best isn't good enough. We need better."",

""If you can't use your weapons to win this fight, then surrender them to someone who can."",
","""At least you were able to save some sentient life in the region, though you failed to accomplish anything else."",

""Our objectives were not met. Recalculating our chances of mounting a successful defense."",","""I am grateful for your efforts, commander... even if the results were not what we hoped."",

""Today has been a victory for the Vek. I fear if we lose any more ground, Detritus and our people may be lost."","
