,,Notes,Artificial Pilot,Archive Inc Pilot,RST Pilot,Pinnacle Pilot,Detritus Pilot,,Ralph Karlsson,Bethany Jones,Abe Isamu,Harold Schmidt,Prospero,Lily Reed,Chen Rong,Henry Kwan,Camila Vera,Gana,Isaac Jones,Silica,Archimedes,Kazaaakpleth,Mafan,Ariadne,,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Script ID,,Artificial,Archive,Rust,Pinnacle,Detritus,,Original,Genius,Assassin,Repairman,Recycler,Youth,Leader,Hotshot,Soldier,Warrior,Medic,Miner,Aquatic,Mantis,Zoltan,Rock,,CEO_Grass,CEO_Sand,CEO_Snow,CEO_Acid
,Parent Personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,A.I. Unit,,,,,,Ralph Karlsson,Bethany Jones,Abe Isamu,Harold Schmidt,Prospero,Lily Reed,Chen Rong,Henry Kwan,Camila Vera,Gana,Isaac Jones,Silica,Archimedes,Kazaaakpleth,Mafan,Ariadne,,Dewey Alms,Jessica Kern,Zenith,Vikram Singh
INFO,Data,Scripting info for reference,,,,,,,"Id = ""Pilot_Original"",
Skill = +1 XP per kill","Id = ""Pilot_Genius"",
Skill = Start battles with shield","Id = ""Pilot_Assassin"",
Skill = Deploys anywhere on the map, dealing damage to adj.","Id = ""Pilot_Repairman"",
Skill = Fire heals instead of damages. (CHANGE TBD?)","Id = ""Pilot_Recycler"",
Skill = 1 Power - Mech flies","Id = ""Pilot_Youth"",
Skill = +3 movement on first turn","Id = ""Pilot_Leader"",
Skill = 1 tile free move after attacking","Id = ""Pilot_Hotshot"",
Skill = Walk through enemy units","Id = ""Pilot_Soldier"",
Skill = Immune to web & smoke","Id = ""Pilot_Warrior"",
Skill = 1 power - Armor","Id = ""Pilot_Medic"", (medic doesnt makes sense anymore...)
Skill = Adds Flying","Id = ""Pilot Miner"",
Skill = 2 Power - Attack twice if they do not move.","Id = ""Pilot_Aquatic""
Skill = Attacking doesn't consume the move action.","Id = ""Pilot_Mantis""
Skill = Cannot Repair. Instead has 2 Damage melee attack.","Id = ""Pilot_Zoltan""
Skill = +1 Reactor Core. Mech Health reduced to 1. Gain Shield every turn.","Id = ""Pilot_Rock""
Skill = ""Fire Immune. +3 Health""",,,,,
,plan,Mini personal history,"See below, this is the entry for a generic (A.I.) pilot.","See below, this is the entry for a generic Archive pilot.","See below, this is the entry for a generic R.S.T. pilot.","See below, this is the entry for a generic Pinnacle (A.I.) pilot.","See below, this is the entry for a generic Detritus pilot.",,"Ralph Karlsson [Unknown] Ralph has crossed the breach almost more times he can count - there's been at least a hundred timelines he's watched fall (in the opening state, he has yet to save even one). This continuous cycle of warfare has made him ruthlessly efficient, being unwilling to even sleep if he has to, as he feels every second counts... and every second that slips away could be the critical moment lost to the Vek. He's come a long way from the wide-eyed soldier he first was (it seems like several lifetimes ago, and it was), and he tries to avoid attachments to the other pilots, as he knows how likely they are to die in battle. He has never said which island he hails from, and there are suspicions he may have come from somewhere beyond the Corporate archipelago... possibly even from a space station. If true, Ralph has refused to confirm it, although in a few timelines, both Bethany, Harold, and Isaac have commented on the Time Pod's architecture as being modeled off of space-faring tech (notably a launch capsule of a rocket... or an escape pod of a rocket).","Bethany Jones [Pinnacle] Bethany Jones served as a physics engineer at Pinnacle, helping design and refine Pinnacle shield technology. Having only grown up on Pinnacle, she's somewhat sheltered with regards to the other islands, and she tends to trusting of others, taking them at their word. She loves the cold and the snow, but she's also excited by the opportunities to see other islands in the Corporate archipelago and learn from the people there. While she and Isaac are technically brother and sister, there hasn't been a timeline where they both were alive to realize this (either Bethany dies at a young age, or Isaac dies - only one of them could be saved in the womb b/c of a chronic medical condition their parents had). Bethany has had a more positive upbringing than Isaac, and her genius is tempered more with empathy and optimism than Isaac (who had a much more difficult childhood).","Abe Isamu [R.S.T.] Sometimes jokingly called ""Honest Abe"" in previous timelines, nothing could be farther from the truth. Abe served as an ""expeditor"" (assassin and ""black box"" work) during the early years of CEO Kern's rise to power, and he took on many names and identities in service to R.S.T. to handle any ""difficult issues"" that would arise that needed to be dealt with by the corporation. He is ruthless when given an objective (in this case, fighting the Vek), and served as ground support in his original timeline before stealing a Mech from a dying (?) pilot and using its breach technology to escape the timeline after the squad perished in the volcanic island. Since then, ""Abe"" has followed the orders of his first CEO Kern and is determined to keep fighting until every Vek in every timeline is defeated... a hopeless task, but ""Abe"" realizes he has little else to fight for, and even if he were to remain in a timeline he saved, he could not deal with the idea that other timelines were still in jeopardy. He has yet to encounter his duplicate, and if so, he may not recognize them due to surgery and the fluctuation of identities his job required before the Vek attack.","Harold Schmidt [Archive] Harold is as close as they come to an engineering ""sociopath"" (this is not the clinical term - co-workers in previous timelines used to call him a ""technopath,"" but even that's not an accurate term for his lack of empathy and social skills). He finds humans uncomfortable and confusing, and takes solace in tinkering with robotics and machines who have clear rulesets and reasons for what they do. In his original timeline, he served a brief term at Detritus (where he seemed bored and uncommunicative), then was rejected from Pinnacle due to his psychological exam, then found a home in Archive, studying and doing restoration work on Old Earth robotics. He initially applied to Archive's open-call for pilot training so it could get him closer to the Mech technology, then it was discovered he did well on the pilot exam (better than most Archive volunteers), and he agreed to serve as a soldier as a way of giving him access to the cutting edge of Mech technology. (Note that Harold doesn't bear any ill-will toward Detritus and Pinnacle, nor do they bear him any ill-will... however, both Singh's predecessor and Zenith saw Harold's lack of empathy, and were worried it could lead to accidents or disregard for human life while he was carrying out his duties.)","Prospero [Detritus] In its original timeline, Prospero was a recycler robot from Detritus. Its job was to monitor region safety in Detritus disposal sites, but was severely damaged in a disposal accident (this was in the days before Vikram was CEO). The ""recycled recycler"" robot was sold at a discount to Archive as a groundskeeper for some of the nature preserves, and it seemed to take to the work, translating its knowledge of chemistry and recycling technology to help cultivate gardens (and when it wasn't able to do this, it would devour all books on botany, biology, and even spiritual books related to nurturing and growing of all life forms). It would have likely have remained a quiet hulking gardener were it not for the emergence of the Vek. When the Vek erupted on Archive, the robot followed its directives to protect the nature preserves… and saw the Vek as nothing more than garden pests to be eliminated to protect the plants. When Archive was able to send reinforcements to the region, they found Prospero still quietly tending its garden, now fertilized with Vek corpses. 

Much like Gana, Prospero is viewed with some suspicion due to the robot uprising, but like Gana, Prospero follows orders and has proven itself on many occasions. When traversing to a new timeline, Prospero seems to actively avoid returning to Detritus. The reason for this is unknown. ","Lily Reed [Archive] Lily was an orphan found at sea at the age of seven (she's now 20), then found and raised by Archive when her makeshift life raft came in sight of their island. Lily was only newly-employed at Archive before she answered the open call for pilot training - some employees may have frowned at her sudden shift in career were it not for the urgency to find soldiers to fight the Vek. Unlike others at Archive who wished to slowly tinker with the Mechs, she embraced her training whole-heartedly, soon learning to use the Mech with one of the fastest training times of any Archive pilot on record. Lily's gone through only a few timelines (or maybe just one) and even seeing the end of the world hasn't dulled her enthusiasm for stopping the Vek. She is a talented pilot and engineer, and her near-hyperactive energy has found a good outlet on the battlefield.","Chen Rong [Detritus] Chen is Henry Kwan's opposite. He's dutiful, conscientious, and puts other's safety before his own. Chen was a high-level manager of one of the key Teleportation Waste Sites in Detritus (much like a central hub to distribute waste to the proper sections of the island), and was responsible for transporting and managing hundreds of disposal lines at once (much like an air traffic controller in the old days, but this was governing the movement of waste, junk, and insuring there were no back-ups or stoppages in the supply line). It is believed this gave him considerable skill in tactics that was recognized during the open call for pilots when the Vek first attacked. Unlike Kwan, Rong didn't volunteer because he wanted to fight, or rise above his position, he did it because he believed it was his responsibility. Since then, he has proven a capable and reliable solider, although he lacks Kwan's battle instincts. ","Henry Kwan [Detritus] Henry Kwan is perhaps the least reliable and least safety-minded worker in Detritus. It seemed he would be forever regulated to a low-level A.C.I.D. report-filing bureau at Detritus - until the Vek attacked. Impulsively, he applied for the open call for pilot training, and he passed the aptitude test with flying colors (his instincts and reflexes seemed to shine in ""think-fast"" situations - as well as situations where he could cause a lot of damage... intentionally.). While hardly the most modest employee at Detritus, his accomplishments in battle have only fed his ego. Despite the timelines lost, Henry seems to see it all as some sort of game, and remains distant from the actual suffering - some suspect his jokes and boasting are a psychological shield, and thus, are afraid to pierce it, in case he loses what gives him his fighting confidence in the first place by dwelling on his failures vs. his accomplishments.","Camila Vera [R.S.T.] Camila is the sixth adopted daughter of Jessica Kern (who maintains an extended family of 20, none of them related by blood) from her Origin Timeline. She is a ex-cartographer and meteorological scout from R.S.T. - she was previously assigned to do field surveys and do ""terrain testing"" in areas where the corporation were testing out new terraforming weapons (she was essentially terraforming ""Q.A.""). In this role, she became an excellent pilot (the others are dead, it's an unforgiving job) and developed a ""sixth sense"" for piloting craft in hazardous conditions and trusting her instincts to ""move"" whenever she sensed a quake or collapse in the ground was about to occur. She has since channeled this sixth sense into combat, learning to anticipate and evade Vek webs as well as knowing how to pilot her Mech in the thickest dust storms without handicapping her combat efficiency. She was one of the first volunteers to fight the Vek in her original timeline after the death of her adopted mother, and also (she's never revealed this to anyone else) she has always had a loathing for insects, so she takes satisfaction in wiping out the giant varieties (the Vek).","Gana [Archive] Gana is a construction robot adapted for combat by uploading a mix of old and modern combat routines from the Archive libraries (think Baymax in Big Hero 6). This has had… partial success, and what happened to Gana is evidence as to why he was the only construction robot so outfitted: while an excellent soldier, his expressions and outlook are a blend of construction-focused speech mixed with ruthless pragmatism. As an example, Gana may categorize an otherwise simple repair as ""offending parts have been executed"" - or he may start ordering a building's infrastructure to ""hold the line"" to prevent a collapse. Soldiers who have served with Gana for an extended period of time have come to ignore its unusual speech patterns as the robot is incredibly effective on the field (and obeys orders), but Gana can be disconcerting for new pilots. Gana has indicated that when the war with the Vek is over, he would prefer to return to his construction duties, and finds he experiences ""reduced job satisfaction"" in fighting the Vek. 

Note that given the recent rise in prejudice against the Pinnacle robots, Gana has suffered similar discrimination… and several officers have questioned if Gana's ""sanity"" in case he may malfunction like the Pinnacle robots.","Isaac [Pinnacle] Isaac has seen too many timelines collapse, and seen too many permutations for how things can go wrong - his high intelligence actually works against him, rather than makes him more confident because he can imagine all the ways things can go wrong (think Chidi Anagonye in The Good Place). He feels ill-suited for being a soldier (his squad mates usually agree, but his scientific knowledge is indispensable). 

While he and Bethany are technically brother and sister, there hasn't been a timeline where they both were alive to realize this (either Bethany dies at a young age, or Isaac dies - only one of them could be saved in the womb b/c of a chronic medical condition their parents had). He respects machines and sees them as equals due to being raised on Pinnacle (he has faith in Zenith, perhaps too much as he feels she's too intelligent to do anything wrong).

Isaac is as much of a genius as his sister, although self-doubt weakens him. He has considerable knowledge of aeronautics, physics, gravitation theory and manipulation, and a number of other fields. It is likely Isaac could master any science he chose to, his only block is his own perceived limitations.","Silica [R.S.T.] Silica is a hybrid of Pinnacle and R.S.T. technology, believed to be one of the first (and possibly only) artificial intelligences devoted to terrain architecture. 

In ""his"" original timeline, Silica was responsible for first detecting and studying the Vek, and eventually was modified to investigate their hives... this nearly ended catastrophically, and Silica was recovered and his programming altered from terraforming to terraforming-based-combat... the concept of using the existing terrain and shaping it, exploiting it, and using the surrounding region as a weapon against the Vek. 

When Silica jumped timelines, his original programming was unknown to every subsequent timeline, and they have seen him only in his role as a environmental tactician, designed to help the islands defeat the Vek.","Archimedes [Pinnacle] Archimedes is a cutting-edge robotic intelligence (a Sentient, he finds the term ""robot"" and ""artificial"" to be discriminatory) from Pinnacle designed to act as a Human Relations officer. It has come from a timeline where Pinnacle ""oversaw"" the islands (the Pinnacle Island Network: P.I.N.) and tended to the humans' needs (much like how you would take care of animals on a farm, but not in a mean or ruthless way – the Sentients simply saw themselves as benevolent caretakers to keep the humans from hurting themselves). 

Zenith has refused to allow Archimedes access to her network, for fear that his directives may corrupt programming on Pinnacle (if this occurred it would be inadvertent, but it is a possibility). Archimedes believes the rioting behavior of the robots on Pinnacle is due to either (1) a contradictory directive they are attempting to follow or reconcile, or (2) the possibility that the arrival of sentient pilot variants from other timelines may indeed be interfering with the natural programmatic order on the island. ","The Mantis are an alien race from the game FTL. Generic text is used to streamline these pilots for use in the game. Kazaaakpleth is a secret pilot that can be gained over the course of the game.

General Background: The Mantis exist to expand, loot, and plunder. There are males and females of the species. They once enslaved the Engi (and thus, may have an overseer-like dominance toward their Mech). They are expansionist, tribal, warlike, and polytheistic. Females often don't make it to high positions of authority unless they are particularly vicious.

The Mantis at key points in their life, have to either return home to reform their exoskeletons (non-biological materials adhere to a resin secreted by their epidermal layers) - or to a suitable planet with the same materials. The Earth of Into the Breach is one such planet although it's not clear if the Mantis were aware of that. Their ships are also composed of the same crust as the Mantis ""wear."" Presumably this crust can be applied to Mech hulls as well (not planning to discuss/show in game, merely commenting this). Mantis ship hulls may also be bedecked with hides, corpses, and remains of their kills. The Mantis enjoy teleporter technology in hunting prey (teleporting onto ships) and are comfortable with the technology (but the Breach tech may be more primitive than they're used to).

Specific Background: Kazaaakpleth is feared among his own people because he doesn't hunt aliens... he prefers to hunt his own kind. He outwardly claims to be doing this for bounties and for a higher, noble purpose, but secretly, he enjoys killing other Mantis. His craft is an escape pod from a failed encounter with a tribe of his own people he'd marked for death. His craft detected the beacon from Earth, and followed it to the corporate islands. He soon relalized he'd come to the ""Happy Hunting Grounds"" a place where he can practice his fighting skills on larger varities of insects than ever (the Vek) and a machine (his Mech) that he can use as a weapon. Kazaaakpleth is happy to slay as many Vek as he can, although if he had the skill to build a ship and take to the stars with the technology he has found, he would do so. Like Mantis, do, K. needs to reestablish his carapace, and he finds the islands rich with suitable biological material - including Vek corpses.","The Zoltan are an alien race from the game FTL. Generic text is used to streamline these pilots for use in the game. Mafan is a secret pilot that can be gained over the course of the game.

General Background: The Zoltan are a wise, intelligent species of energy, about to transcend to a higher ""level"" – of consciousness. They favor enlightenment above all else. They are respectful, tactful, and humble… but not pushovers if attacked. Younger members (""children"") in the lore are said to be gaining telepathic powers. 

Specific Background: Mafan was on a pilgrimage when the beacon summoned it. It finds the idea of the breaches to be akin to enlightenment along the lines of Groundhog Day although it finds them surprising… it considers the two week ""recycling"" of the self an opportunity to reflect on one's actions forever within an enclosed temporal loop. It considers the Vek to be an obstruction to this enlightenment, but also a necessary part of the phenomenon that keeps sparking the breaches to be made. (More specifics about the tone and intent of each of the lines below can be found in the Writing Style Guide, broken down line by line, if curious – it gives more information on how Mafan and the Zoltan might perceive certain events.)","The Rock (People) are an alien race from the game FTL. Generic text is used to streamline these pilots for use in the game. Ariadne is a secret pilot that can be gained over the course of the game.

General Background: Rock (people, male and females of the species exist) are large, herbivorous bipeds. Rock(men) are natural isolationists and like to be left alone. They are dogmatic and single-minded. In their own territories, they are largely religious zealots and have a wide interpretation of cultural transgression (ex: offers to trade can be interpreted as hostile). Rock(men) are raised so that radical members of their species are separated from the population and carefully managed so that they can fit in with the rest of their culture. Interaction with alien species is illegal. Their home culture involve arranged marriages. They were one of the founders of the Federation (along with humans and Engi). 

Rockmen who do not conform to their species stereotype (say, rebelling against religion or by being simply... different) can be found amongst the stars, and several instances of Rock pirates and warriors exist in the Big Black (they are known to cover their ships with ""outcast decorations""). 

Specific Background: Ariadne (female of the species) was fleeing a pre-arranged marriage to a Basilisk Chief (see FTL) when the beacon diverted her vessel. Her crime prevents her from wanting to return to Rock space even if she could... but is uncomfortable amongst the many cultures on the new planet she has found. She is vaguely curious what time travel/breach technology could possibly do to erase her crime and the events leading up to it, allowing for a fresh start.",,See CEO biography in narrative documentation.,See CEO biography in narrative documentation.,See CEO biography in narrative documentation.,See CEO biography in narrative documentation.
,Personality,Character guidelines for chatter,"
Artificial pilots are assigned to mechs as a last resort in combat. While they are capable of fighting, Mechs excel and become better when manned by a human pilot (or Pinnacle A.I., which are far more advanced). Artificial pilots are often present in the corporate islands, but not accorded the same status nor have the same extent of personality that the Pinnacle robots do.","
These fellows are a little uncertain, but interested in the Mechs they are commanding from an Archive point of view.","
R.S.T. pilots are no-nonsense and share much of Kerns' aggressive pragmatism. They tend to be harsher than the other Island pilots and have a ruthless streak. Sometimes stiff and military (""commander""), but at other times, their eagerness at killing Vek comes out.","
Pinnacle are all A.I.s/Sentients, just to reinforce the robotic theme (even though there are humans on the island).","
Detritus pilots are cautious, careful (both due to their profession), and polite - they, like their CEO, believe in safety first and ""disposing"" of hazardous material (including Vek) safely vs. swiftly. They are more matter-of-fact and focus on metrics and results. ""Haste makes waste"" is a good Old Earth expression for explaining their slow, methodical approach.",,"
Classic cold knowledgeable veteran type. No time for those who can't keep up. Cynical/realistic about your chances. Not a very exaggerated character.","
Caring, intelligent, pragmatic. A bit naive to war. Constantly hopeful & encouraging. Looks for the best in humanity.","
Stoic, calculating, cold. Soft spoken. ","
Inquisitive; Focused on learning more than just fighting. Easily distracted. Somewhat disinterested and uncaring. Not very empathic.","
Prospero has been repurposed to operate its Mech in harsh conditions. Its English is fine but isn't in love with the new ""work"" conditions.","
Really excited. Hopeful and a little silly. Feels invulnerable. Sees it as a game. ","
Chen is conscientious, reliable, and tries to be a model soldier. He's one of the best examples of managerial skill and leadership at Detritus, and it comes through in fighting the Vek.","
Cocky. Feels he is the hero. Feels invulnerable. Feels he couldn't possibly be wrong. ","
Prototypical good soldier. Treats the battle like a military war. Doesn't have time for nonsense. Wishes others were as professional. While she shares traits with Chen Rong, they occasionally (quietly) clash on military issues (she's more hands-on in the fighting, while Rong's more of a supervising officer).","
Construction robot adapted for military use. Meant to interface with people so speaks in sentences but is very curt and unemotional.","
Paranoid & pessimistic. Generally a good person but not handling all the stress well, and his attitude can sometimes be demoralizing - he's suspicious of his own successes and victories. Definitely a ""this timeline's already half-lost"" kind of guy. Stutters because of temporal research studies... it's caused a nervous system problem in his speech patterns.","
A relatively calm, pragmatic machine who has adjusted to the change in its original purpose of mineral survey to destruction. It tends to quantify its responses in terms of how actions will affect the environment first, then the individuals second. ","
Well-mannered, aristocratic, superior (he comes from a more advanced timeline, he believes), and can be condescending toward humans.","
Mantis speak in a kind of chittering - (i.e. names having a lot of k's or tch's kinda sounds).","
Zoltan are energy beings… so perhaps a wispy ethereal speak.","
Rock people ""speech"" is like a low grumble - slower, almost a 'rocks grinding' sound.",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game States,Gamestart,This happens at the start of a new game,,"""I'm back... and there's Archive, restored! Still, that won't last if I don't stop the Vek.""","""There it is - the island chain being hit by the Vek invasion. Sensors confirm R.S.T. is holding the line. For now."" ","""[ Att: Pinnacle CEO: Zenith. This is #self_reverse, from compromised timeline. My databank holds records critical to human and robot survival ]""","""There's Detritus, before the catastrophe. Maybe we can apply my combat data to ridding these islands of the Vek contamination.""",,"""These corporate islands are the Vek's breeding ground. Wipe them out here, we save the world."",
""No way in hell I'm letting the Vek take the islands this time."",
""This timeline'll be a Vek graveyard."",
""We'll hold this timeline, no matter what."",","""I was given another chance to save the world - it all depends on these islands. I can do this!""","""I am not here to save you. I am here to train you to save yourselves."",
""Without determination and strength, these islands will fall again. Stand with me or stay out of my way."",
""I am here to do what must be done. No more timelines must fall.""","""Our strategy remains the same: defend these islands. However, I wonder... is anything different in this timeline?"",
""I wonder... were any significant technological divergences in this timeline? I suppose we'll see in the battles ahead!"",
""I'm back - almost as if nothing happened. How long can this cycle continue?"",
""I wonder... are these breaches causing any damage to the timeline? The tachyon emissions alone..."",
""I wonder... who first invented the breach technology? And why was it used here, on these islands?""","""Detecting high concentrations of carnivorous insects infesting all corporate islands. Activating Vekticide protocols."",
""Vek parasites have infested the environmental preserves on the islands. I shall rectify this."",
""These islands are my gardens. As I tend the gardens, Vek remains shall nourish the soil."",
""These island biomes are threatened by Vek. I shall see to it their remains feed the soil."",","""Here we go! Another chance to save the world!"", 
""Hello...? Did I make it? Oh... picking up signals from the islands now. Hello, out there!"",
""Islands! This is #self_full... I know this may seem strange, but I know you all already, and it's great to see you again!""","""Let me know you need from me, commander. I can help organize the islands into a fighting force against the Vek, just say the word."",
""We don't have much time. Every second the islands waste debating the threat, the Vek gain more ground."",
""Commander, it's good to see you again... you may not remember me, but... I'm here to do whatever I can against the Vek.""","""Good citizens of the islands - no need to be afraid! I, #self_full have come to destroy the Vek!"", 
""People of the islands, I am here - from the future! I have come in your hour of need to... anyone? Is this thing on?"",
""Another timeline, another opportunity for #self_full to shine!"",
""People, people, please - first, I save all of you, THEN it's time for autographs.""","""All right, listen up. Our primary objective is to hold these islands. We do that, we might just have a chance at winning this war."",
""Have to learn from the mistakes I made in the last timeline... if so, then maybe R.S.T. will survive."",
""There's R.S.T., and it looks like my foster mother is alive in this timeline... but there's no trace of me. I wonder if Kern ever knew me?"",
""First order of business. We need to roll out Mech production and prioritize weapons manufacturing... what are you all standing around for? Move!"",
""Attention, all islands - we don't have much time. I need pilots for the war ahead - either volunteers or conscripts, it doesn't matter to me.""","""Islands, this is #self_reverse. I am here because your timeline requires extensive repairs. Exterminating the Vek is a necessary first step."",
""Islands, this is #self_reverse. There are many like me, but I am unique. I am here as your ally. Without me, you will go extinct."",
""All sentient systems, I am #self_reverse. You are threatened. We will act together to end this threat."",","""S-s-so many deaths, and I'm b-b-back as if nothing happened... w-w-will there ever be an end to this?"", 
""S-s-same islands as before - and the s-s-same war. Isn't it madness to keep r-r-repeating one's actions?"",
""P-P-Pardon my stutter, it's a side effect of my research. W-would it be possible to reserve some lab s-s-space?"",
""B-B-Back again... is it p-p-possible we're perpetuating this war? Even creating n-n-new timelines?"",","""The Vek are conducting unauthorized mining in this archipelago. I am here to stop their efforts."",
""I was designed for the purpose of locating the central Vek hive. But I do not detect one on any of these islands.""","""Pinnacle is regulated to a single island in this timeline. Current overseer: Zenith… a THIRD-generation intelligence? How archaic."", 
""No wonder this timeline is in danger. Humans are running around everywhere, completely off their designated preserves."",
""No sign of the Pinnacle Island Network... why, it looks as if Pinnacle has restricted itself to a single island. Why have they not taken control?"",
""There is evidence of a robotic uprising on Pinnacle. Cause unknown, merits further investigation.""","""JJK! K't'ch'ch; Vk; #main_reverse! Kc'chht! KC'CHHT!""","""/ ::--::..::--:: \""",""":: RhnnN-kk-K-K-k-nnn. Nnn-hrn. HnNnH. ::""",,--,--,,
,FTL_Found,Happens on the island screen after finding the FTL pilot in a pod.,,"""Uh... that Pod... ship... whatever it is... has an occupant. Can't make out what it's saying, but it seems... friendly?""","""There's... something inside the Pod, commander. It's communicating, but what, I don't know.""","""[ Alien craft contains extraterrestrial occupant and language of unknown construction ]""","""Craft has a pilot, but I can't decode what it's saying.""",,"""Who... or what this thing is, my systems can't translate what it's saying.""","""I... think it's an extraterrestrial, but I can't seem to translate its language.""","""The land this pilot comes from is unknown, but not of earth.""","""Why... I believe it's an extraterrestrial! Having trouble with its language, however.""","""The pilot is unaware of the damage done to the soil by their landing, but their actions seem allied with ours.""","""It's an alien! Let's make it feel at home! Er, whatever home's like for them, I guess?""","""Looks like our new friend came from space... can't make heads or tails of what it's saying, though.""","""Whoever... or whatever this thing is, it's speaking gibberish.""","""Whatever this pilot is, my systems can't translate what it's saying, commander.""","""The pilot's craft bears no tachyon emissions. Its language is unknown to my circuits.""","""I... th-th-think the craft and pilot are alien! C-can't seem to t-t-translate its language, though.""","""The pilot's craft bears no tachyon emissions. Its language is unknown to my circuits.""","""The pilot's craft bears no tachyon emissions. It... may even be more advanced than I am.""",,,""":: Rhnnn-kk-k-k-nnn-hrn? ::""",,,,,
,FTL_Start,Happens after you start a new game with an FTL pilot. Only needed for Recruits,,"""Why would the future send us an alien that can't communicate with us?""","""I think it's trying to communicate, commander... at least it seems like it wants to help.""","""[ Extraterrestrial time traveler is speaking a language of unknown construction ]""","""It appears this alien time traveler is going to lead the charge against the Vek."" ",,,,,,,,,,,,,,,,,,,,,,
